chembl_id	link_name	link
CHEMBL431920	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL1543	J. Med. Chem. (1998) 41:13	https://doi.org/10.1021/jm970518m
CHEMBL76285	J. Med. Chem. (1998) 41:13	https://doi.org/10.1021/jm970518m
CHEMBL73552	J. Med. Chem. (1998) 41:13	https://doi.org/10.1021/jm970518m
CHEMBL75497	J. Med. Chem. (1998) 41:13	https://doi.org/10.1021/jm970518m
CHEMBL306054	J. Med. Chem. (1998) 41:13	https://doi.org/10.1021/jm970518m
CHEMBL75402	J. Med. Chem. (1998) 41:13	https://doi.org/10.1021/jm970518m
CHEMBL73635	J. Med. Chem. (1998) 41:13	https://doi.org/10.1021/jm970518m
CHEMBL306136	J. Med. Chem. (1998) 41:13	https://doi.org/10.1021/jm970518m
CHEMBL73361	J. Med. Chem. (1998) 41:13	https://doi.org/10.1021/jm970518m
CHEMBL54825	J. Med. Chem. (2004) 47:8	https://doi.org/10.1021/jm049938j
CHEMBL417373	J. Med. Chem. (2004) 47:8	https://doi.org/10.1021/jm049938j
CHEMBL292589	J. Med. Chem. (2004) 47:8	https://doi.org/10.1021/jm049938j
CHEMBL55249	J. Med. Chem. (2004) 47:8	https://doi.org/10.1021/jm049938j
CHEMBL427256	Antimicrob. Agents Chemother. (2007) 51:3	https://doi.org/10.1128/aac.01366-06
CHEMBL427256	Antimicrob. Agents Chemother. (2007) 51:3	https://doi.org/10.1128/aac.01366-06
CHEMBL427256	Antimicrob. Agents Chemother. (2007) 51:3	https://doi.org/10.1128/aac.01366-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL536636	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL536636	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL536636	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL536636	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL536636	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL462188	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL188164	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL360601	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL189019	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL387855	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL3085056	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL536636	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL462188	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL188164	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL360601	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL189019	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL387855	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL3085056	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL462188	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL536636	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL462188	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL536636	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
